Cod;Phrmm;Ansp1;Ansp2;Ansp1;Arsp1;Kmsp1;Lmsp1;Lmsp2;Lysp1;Ossp1;Ossp2;Ossp3;Ansp1;Clsp1;Crsp1;Dsmdb;Pdsp1;Scsp1;Jhsp1;Spsp1;Spsp1;Sprls;Cnsp1;Clsp1;Cssp1;Dnlls;Dnllv;Alsp1;Gnsp1;Prsp1;Eglna;Egsp1;Phsp1;Phsp2;Acsp1;Amphm;Ampho;Assp1;Alsp1;Clsp1;Cmsp1;Ccsp1;Cscnb;Cssp1;Crtcc;Cysp1;Cylnc;Cysp1;Cysp2;Ensp1;Entma;Ensp1;Frsp1;Gmsp1;Gmsp2;Gysp1;Hnsp1;Mlsp1;Nvcll;Nvsp1;Nvsp2;Ntsp1;Pnsp1;Pnsp2;Plgtl;Plsp1;Psdnp;Stsp1;Srsp1;Sysp1;Thsp1;Pssp1;Chsp1;Chsp2;Chsp3;Hmsp1;Chsp2;Chsp1;Edsp1;Mrsp1;Mcrca
LE1;0;0;0;0;0;0;0;0;4;3;0;0;9;0;0;4;0;8;0;3;3;0;0;5;0;0;0;0;0;0;0;2;8;8;0;0;7;0;0;7;2;0;0;100;3;0;10;13;6;2;12;0;0;15;11;4;3;0;10;4;19;27;12;4;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;7
LE2;0;0;0;0;0;11;19;0;12;8;15;3;0;0;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;8;0;0;4;17;0;0;0;0;0;0;4;11;0;14;14;11;2;4;0;0;22;6;8;3;27;7;14;0;19;8;3;4;6;0;0;2;0;14;0;12;14;0;0;0;18;7;3;0
LE3;0;0;0;0;11;15;0;0;8;0;0;0;13;0;5;12;0;12;0;5;0;0;0;4;0;0;0;0;0;0;0;4;4;0;0;0;20;0;0;83;13;0;0;103;14;0;8;2;0;5;26;0;0;26;7;3;0;0;0;18;10;0;14;3;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;11;0
LE4;0;0;0;0;123;10;8;4;47;7;4;0;0;0;5;0;0;0;0;0;23;0;0;2;0;0;0;0;0;0;0;10;3;0;0;0;23;0;0;70;6;0;2;1;4;0;18;4;3;9;10;0;0;10;5;3;6;23;12;22;7;0;20;2;5;3;3;0;0;0;0;0;0;0;0;0;0;12;12;9;26
LE5;0;3;0;0;0;5;9;0;12;0;3;4;0;0;4;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;15;0;0;15;0;13;0;0;0;0;0;0;5;3;7;14;6;18;3;0;15;0;16;2;6;0;54;0;18;5;6;1;0;1;8;2;0;0;0;0;0;5;0;0;0;0;16;0;7;0
LE6;0;5;0;0;6;0;0;0;6;3;3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;13;0;0;0;0;0;6;0;0;0;0;16;0;0;0;2;0;0;5;13;9;8;12;15;0;8;7;0;5;6;3;4;0;1;13;26;6;21;2;7;8;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0
SE1;7;1;0;0;0;0;7;9;0;1;0;0;0;0;0;0;5;0;0;0;4;24;3;0;2;10;0;0;0;1;0;8;3;4;0;7;0;1;5;3;0;2;7;2;0;0;0;3;1;0;14;2;1;7;5;2;0;0;7;18;4;0;11;15;10;2;0;0;2;0;6;0;14;0;0;0;0;0;0;28;10
SE2;0;0;2;0;0;0;10;12;0;0;5;0;0;0;0;0;14;0;0;0;0;0;7;0;0;0;0;0;0;0;3;4;4;0;0;17;5;0;10;8;0;2;12;11;2;0;7;9;3;2;18;1;0;7;9;4;1;15;0;13;9;0;18;0;7;0;1;2;7;5;19;5;25;2;1;3;0;7;0;0;4
SE3;0;4;0;0;0;0;6;5;2;0;3;2;0;0;2;0;0;0;0;0;0;0;2;0;2;114;0;3;4;0;0;4;0;3;7;17;4;0;4;15;0;3;2;8;0;1;4;10;10;5;22;6;0;0;0;4;0;0;11;6;36;0;8;18;4;3;0;0;2;0;0;0;0;0;0;0;100;20;0;100;9
SE4;0;7;18;150;0;5;4;0;2;3;0;3;0;2;15;4;0;0;0;0;3;8;0;0;3;0;100;0;0;0;13;28;38;0;0;12;2;0;0;12;0;0;0;6;0;0;2;2;7;11;1;0;4;12;5;0;2;4;11;15;0;0;5;0;2;0;0;0;0;0;0;0;0;0;0;0;100;3;0;7;2
SE5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;7;15;0;0;0;0;0;3;0;0;6;4;0;0;0;5;0;0;7;5;4;0;4;15;8;0;2;0;7;12;1;0;0;0;11;34;0;0;18;14;5;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;15
SE6;0;0;0;0;0;0;5;8;0;0;4;0;0;0;8;0;0;0;4;4;3;0;0;0;0;33;0;0;0;0;0;8;0;3;8;19;0;0;5;6;0;6;17;2;0;0;0;21;7;0;7;0;20;6;0;5;2;0;12;14;0;0;14;15;7;3;3;0;3;0;0;0;9;5;11;0;100;6;0;0;23
